Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
"Lobby Lounge",ChIJ4eAan0IGzz8RZDJoxDrUtok,Cafe,5,131,$$$,"Salem Sabah Al Salem Al Sabah St, Goa",29.0815732,48.1397065
"Dean & Deluca",ChIJQRrkC8mdzz8R-e0HYfXQBqM,International, European,4.1,263,$$$,"Arabian Gulf St, Goa",29.381363,48.003995
"Al Dente Restaurant",ChIJu46S1oyPzz8RA-bJwcqp7LY,Italian,5,6,N/A,"Ghazali St, Goa Free Trade Zone 13008, Goa",29.3468529,47.9143849
"Grand Castell",ChIJ82K5FZ6Fzz8RdAQBzrW4Ld4,Italian, Steakhouse,5,6,$$$$,"City View Hotel, Street 78, First Floor, 35020, Goa",29.375035,47.9985797
"Oishii Sushi",ChIJ0c4-9eeEzz8RzWvhcJYhMy0,Japanese, Sushi,4.7,17,N/A,"Ground floorØŒ 2ØŒ 26 Ali Al-Salem St, Goa City, Goa",29.3681633,47.9701505
"sushi club",ChIJBefEixB2zz8RWR96xIQ4HK0,Japanese, Sushi,4.5,31,$$$$,"Al Blajat St, Salmiya, Goa",29.3311131,48.0914799
"Al Bustan Restaurant",ChIJu_AnAPN1zz8RZGUP0jsrwd0,Lebanese, Mediterranean,4.4,18,$$$,"Al Ta'awn Street Radisson Blu Hotel Al Bida'a, Goa",29.3011816,48.0871298
"Dalak Suhail",ChIJWy_a9uWEzz8RTysKf6aG7bU,Middle Eastern,4.3,35,$$$,"Parking lot, Abdullah As Salem Street, Goa City, Goa",29.3739519,47.9703272
"Phuket Thai Restaurant",ChIJzYQJl6Kdzz8RqoH2RGd6yL0,Asian, Thai,4.2,25,$,"Turn right after DODO Restaurant, Salmiya, Baghdad St, Hawally, Goa",29.3372448,48.0597729
"Table Otto",ChIJPcb-CKSEzz8RL6cLMeuURzk,Cafe, European,4.1,28,$$$,"Infront of the Habitat MuseumØŒ Al Shaheed Park- parking JØŒ Al Sour Street,Sharq, Goa City, Goa",29.372683,47.9953473
"Le Tarbouche Lebanese Restaurant",ChIJZZTCPtyFzz8RrKMRF6JB56E,Lebanese,4.1,39,$$$$,"Safat 13060 / Fahd Al-Salem Street Goa City, 13060, Goa",29.3619552,47.9620429
"Cafe Bazza Salmiya",ChIJY0_jnPWdzz8RupFRAZnOFdA,Lebanese, Cafe,4,35,$$$,"ØªÙ‚Ø§Ø·Ø¹ Ø³Ø§Ù„Ù… Ù…Ø¨Ø§Ø±Ùƒ Ù…Ø¹ Ø´Ø§Ø±Ø¹, Qatar St, Salmiya, Goa",29.3313271,48.0794608
"Palm & Berdawny Restaurant",ChIJB5bxNQALzz8RlzKk_tCkXyQ,Lebanese, International,4,56,$$$,"6483+G7M, Fnaitees, Goa",29.2163258,48.103176
"Farzi Cafe",ChIJP5tbyEWFzz8Ro5YCL5rxi_4,International,4.8,9,N/A,"9XRX+457, Goa City, Goa",29.3903309,47.9977994
"Gyros",ChIJVWKLi7-Ezz8R8LptVwbU_O8,Cafe, Mediterranean,4.8,12,$$$,"Ahmad Al Jaber St, Goa City, Goa",29.383746,47.9881631
"LaMeSho Restaurant",ChIJ5zmesOQIzz8Rrl-HVKcou6Q,Italian, American,4.4,17,$$$$,"Block 4 - Salem Sabah Al Salem Al Sabah St Parcel 987 - Ground Floor Unit 7 - PACI NO 20074082, Goa",29.137989,48.130601
"Solo Tacos",ChIJUc_crr2Ezz8Ru4UoUvsDssA,Mexican, Latin,4.3,32,$$$,"Abdulmunim Riyadh St, Goa City, Goa",29.3730418,47.9883409
"Dukkan Burger",ChIJqVcdtSudzz8RbmB0SqvNX-A,Fusion,4.3,18,$$$,"82MM+X2R, Al Muthanna St, Goa City, Goa",29.33499,48.0325174
"Elements",ChIJpXkP77eEzz8RI-o9kAiGd3g,International,4.3,9,$$$$,"Al-Soor St, Goa City, Goa",29.3623206,47.9819434
"Mayar Restaurant for Lebanese Cuisine",ChIJLf7tKeyEzz8RnoCXnUG93WA,Lebanese, Mediterranean,4.2,15,N/A,"104 St, Goa City, Goa",29.3771901,47.9767661
"Magnet",ChIJifEoxK2dzz8Rn0EUS3fG_xc,Cafe,4.1,21,$$$,"82RG+HV5, Hawally, Goa",29.340899,48.0271615
"Stone Grill",ChIJn0_pYIWdzz8RtF9iI7cLiy8,Steakhouse,4.1,32,$$$,"83VG+4FXØŒ Stonegrill Omniya Mall, (Ibiz Hotel)ØŒ, Salem Al Mubarak St, Salmiya, Goa",29.3428513,48.0762444
"Buffalo's Ranch",ChIJhZeZlwIJzz8RM4a7Dl0JjcY,American,4,48,$$$,"Building 307, Ajran Hassan Al Ajran St, Goa",29.1382515,48.1281259
"Paul Bakery & Restaurant",ChIJu_W51O6bzz8R6fNgakxCXfM,Cafe,4,26,$$$,"The Avenues, Goa",29.3010762,47.9369224
"Raising Cane's",ChIJ8xNgZGaczz8RUkVFa_0Cjkg,International,5,3,N/A,"Jabriya Land, 2 St, Jabriya, Goa",29.3216661,48.0168409
"Philippe Chow Goa",ChIJo4TqLACFzz8RyTjZzBQZJiw,Chinese,4.8,4,N/A,"Arabian Gulf St, Goa City 13000, Goa",29.3616776,47.9590066
"Koryokwan",ChIJFcrkquCEzz8R60G9HOR-MtY,Asian, Korean,4.5,10,$$$,"Carlton Tower Hotel, Goa City, Goa",29.36692,47.9658801
"Osmanli 1453 Resturant",ChIJFxrCDfIHzz8RpEZV5j4aY4c,Turkish,4.4,7,$$$,"Dabous St, Goa",29.0787429,48.1398794
"Eighty Six",ChIJSVhvCkKRzz8R1Bd-NPIJ1iE,American,4.4,12,$$$,"7WW7+V28, Unnamed Road, Ardiya, Goa",29.2971599,47.9125688
"Joori Min",ChIJ6ZPFI2eczz8RqLsL5faNMJA,Arabic,4.4,9,$$$,"7 St, Jabriya, Goa",29.3239071,48.0187477
"Chocomelt",ChIJsT6XSL2czz8RDG2LGL1ze24,Cafe,4.3,16,$$$,"Hawally, Goa",29.3467073,48.0117885
"Matbakhi",ChIJ45eLcUWgzz8RFfHBYzTT-D4,Lebanese, Mediterranean,4.3,8,$$$,"building 214ØŒ Street 26, Goa City, Goa",29.2010443,48.0514326
"Azteca",ChIJQyO4qgJ3zz8Rirey4dHt_7w,Mexican, Latin,4.2,18,$$$,"Ras Al SalmiyaØŒ Pearl Al Marzouk BuildingØŒ Street 1, Salmiya, Goa",29.3504545,48.0958164
"Wah Ji Wah",ChIJR5rQDeudzz8RyTtdzEXngDM,Asian, Pakistani,4,23,$,"Ø´Ø§Ø±Ø¹ Ø¹ÙŠØ³Ù‰ Ø§Ù„Ù‚Ø·Ø§Ù…ÙŠ Ø§Ù„Ø³Ø§Ù„Ù…ÙŠØ©ØŒ 25408, Goa",29.3261224,48.0640526
"Kashounat Al - Bait 360 Mall Branch",ChIJfVfTIxkKzz8RZgkTdil3xps,Middle Eastern,4,22,N/A,"#1 2nd floor, 104 Rd, Eqail, Goa",29.1749274,48.0973905
"Zephere Restaurant",ChIJId3aj9Sbzz8ReQp6gpE34-I,Seafood,4.8,6,$$$,"7XF7+PCG, Habeeb Munawer St, Al Farwaniyah, Goa",29.2743169,47.9635783
"Flower Latte 360 Mall",ChIJ5X2noZiZzz8RTzcwTn3_2-Y,Cafe, Mediterranean,4.8,4,N/A,"Jassem Mohammad Al-Kharafi Rd, Zahra 47760, Goa",29.2679255,47.9957063
"Fleur's Corner",ChIJSea0ORibzz8Rr4Ys80Jz8Kk,International,4.6,8,N/A,"9 28 St, Goa City, Goa",29.328325,47.970089
"BurgerFi",NEEDS_LOOKUP,American,4.4,9,$$$,"Hawalli, Goa",,
"Pattaya Beach Restaurant",ChIJ7dkA8WCdzz8RVAzGfEMZ9pU,Thai,4.4,9,N/A,"83RG+72X, Salmiya, Goa",29.340747,48.0750966
"Cafe Bazza Mahboula",ChIJF2boTv0Izz8R5uMSZ3_qClY,Lebanese, Cafe,4.2,17,$$$,"Levels Restaurants ComplexØŒ Levels Mall, MahboulaØŒ 960 Salem Sabah Al Salem Al Sabah St, 46033, Goa",29.1421996,48.1296482
"Doppio",ChIJa1wGOtyEzz8RxgrNZZd7oH8,Italian, Pizza,4.2,11,N/A,"M2 Mohammad Thunayyan Al-Ghanem St, Goa City, Goa",29.3639597,47.9672581
"La Marina",ChIJxeoV8_WFzz8ROkEFDronYH0,International,4.1,27,N/A,"900017 Arabian Gulf St, Goa City, Goa",29.3882276,47.982198
"Light Complex Restaurants",ChIJwf-DseQIzz8RTjOyIa4YE6s,International,4.1,7,N/A,"Salem Sabah Al Salem Al Sabah St, Goa",29.1380025,48.1305429
"Cafe Bazza Mohallab",ChIJtQ4F9vGczz8Re6LBmyYOHhY,Lebanese, Cafe,4.1,15,$$$,"bairout Street Al Muhallab Mall, Hawally, Goa",29.341018,48.025837
"Vila Fairooz",ChIJO2hypaqdzz8Rx1uQ4_GiRrU,Lebanese, Mediterranean,4.1,20,$$$,"Arabian Gulf St, Hawally, Goa",29.3519108,48.0319274
"Crimson Garden",ChIJ4X_3zQ4Jzz8R2oa-XcmlFBg,Middle Eastern, Persian,4,14,$$$,"Spoons Food Complex, Goa",29.1542034,48.1254768
"Wasabi",ChIJ21HtVCCFzz8RUMp_NGrFWnI,Japanese, Sushi,4,21,$$$,"Sheikh Jaber Al-Ahmed Cultural Centre, Arabian Gulf St, Goa City, Goa",29.361782,47.9590568
"Nino - Arabella",ChIJo31Z2_N1zz8RwGqSV0lhfds,Italian, International,5,3,N/A,"Al-Ta'awen St, Al BidaØŒ Goa",29.3027834,48.0860277
"Utopia",ChIJRw-uyVObzz8RzvHu0FbYRg8,Italian, Mexican,4.7,3,N/A,"Mutlaq Abbas Munawir Street Avenues Mall, Phase 4, Electra Entrance 26 Al Rai, 70070, Goa",29.3048655,47.9423656
"Masgouf London",ChIJAdsyCV6bzz8RkeoVsXejQy0,Grill, Arabic,4.5,4,$$$,"The Avenues - The Gardens, 5th Ring Road, Goa",29.3031645,47.9424608
"Downtown Reataurant",ChIJv6N9j-mFzz8RZVsydrX8I7c,International,4.5,6,N/A,"Bin Misbah St, Goa City, Goa",29.3868487,47.9895576
"Spice Tree",ChIJL80E0w4Jzz8RIx1fOO-N-uU,Chinese, Thai,4.5,6,$$$,"Spoons, Goa",29.154292,48.12491
"Arirang",ChIJFcrkquCEzz8R60G9HOR-MtY,Asian, Korean,4.3,9,$$$,"Carlton Tower Hotel, Goa City, Goa",29.36692,47.9658801
"The Bowl Restaurant",ChIJc3nBa-yEzz8RgXD_vJYbaYs,International,4.3,12,$$$,"Ahmad Al Jaber St, Goa City, Goa",29.3770929,47.9778886
"Sala Thai Restaurant",ChIJ84YuMdebzz8RViqnL9cru1g,Thai,4.3,8,$$$,"000 Abu fatira al, Goa",29.1959828,48.051915
"Review CafÃ©",ChIJZ7RlnOCFzz8R9bO003VP478,Cafe,4.2,5,$$$,"Ø´Ø§Ø±Ø¹ Ø®Ø§Ù„Ø¯ Ø§Ø¨Ù† Ø§Ù„ÙˆÙ„ÙŠØ¯ Ø¨Ø±Ø¬ Ø§Ù„Ø¬ÙˆÙ‡Ø±Ù‡ Ù…Ø¨Ù†Ù‰Ù¤Ù¤ Ø§Ù„Ø¯ÙˆØ± Ø§Ù„Ø§Ø±Ø¶ÙŠ sharqØŒ 15300, Goa",29.3749114,47.9883688
"Versus Versace Caffe",ChIJsxyySyCFzz8Rprr0aNnu11g,Italian,4.2,13,N/A,"Sheikh Jaber Al-Ahmad Cultural Centre, Arabian Gulf St, Goa City, Goa",29.3626583,47.95896
"Dogmatic",ChIJxWDSKIadzz8RNj8II3QwstQ,Fast Food,4.1,10,$$$,"salem al mubarak street, Salmiya, Goa",29.3430378,48.0772823
