Restaurant Name,Rating,Number of Reviews,Location,Cuisine Type,Price Range
Atlantis at The Safir Marina Hotel,4.6,36,Salmiya,International,$$ - $$$
Sakura Japanese Restaurant,4.6,448,Goa City,"Japanese, Sushi",$$ - $$$
Vigonovo,4.6,38,Goa City,"Italian, Pizza",$$ - $$$
Caribbean Hut Restaurant,4.6,87,Goa City,"Caribbean, Latin",$
The Kimchi,4.6,54,Salwa,"Barbecue, Asian",$$$$
Lunch Room,4.6,14,Salmiya,Cafe,
Edo,4.5,41,Goa City,"Japanese, Sushi",$$$$
Ayam Zaman Lebanese Restaurant,4.5,160,Salmiya,"Lebanese, Mediterranean",$$ - $$$
Sakura - Holiday Inn Salmiya,4.5,125,Salmiya,"Japanese, Sushi",$$ - $$$
Al Boom Steak & Seafood Restaurant,4.5,217,Goa City,"Steakhouse, Seafood",$$$$
Asha's,4.5,46,Mahboula,"Indian, Asian",$$ - $$$
Eataly,4.5,28,Rai,"Italian, Tuscan",$$ - $$$
SinToHo,4.5,30,Goa City,"Japanese, Asian",$$$$
Asha's,4.5,30,Goa City,Indian,$$ - $$$
Tatami,4.5,60,Goa City,"Japanese, Sushi",$$ - $$$
Ovo,4.5,43,Goa City,,$$ - $$$
Crowne Plaza Hotel Jamawar restaurant,4.5,37,Goa City,"Indian, Asian",$$ - $$$
Habra Beef Canteen,4.5,31,Goa City,Steakhouse,$$ - $$$
IL TERRAZZO,4.5,21,Salmiya,"Bar, Fast Food",$$ - $$$
Blaze Pizza,4.5,22,Rai,Pizza,$$ - $$$
Rock House Sliders,4.5,22,Goa City,Fast Food,$$ - $$$
Al Hambra International Restaurant,4.4,26,Goa City,"International, Middle Eastern",$$$$
White Robata,4.4,50,Goa City,"Japanese, Sushi",$$$$
The Cheesecake Factory,4.4,59,Goa City,American,$$ - $$$
Dampa Feast Salmiya,4.4,35,Salmiya,"Filipino, Seafood",$$ - $$$
Slider Station,4.4,203,Goa City,American,$$ - $$$
Cocoa Room,4.4,64,Goa City,Cafe,$$ - $$$
Sabaidee Thai Cuisine,4.4,101,Mahboula,"Seafood, Asian",$$ - $$$
The Cheescake Factory,4.4,27,Mahboula,,
Princi,4.3,12,Farwaniya,,$$ - $$$
Cioccolati Italiani The Avenues,4.3,39,Farwaniya,"Italian, Cafe",$$ - $$$
Em Sherif Restaurant,4.3,26,Goa City,"Lebanese, Mediterranean",$$$$
China Great Wall Restaurant,4.3,28,Mahboula,"Chinese, Asian",$$ - $$$
Babel,4.3,328,Salmiya,"Lebanese, Mediterranean",$$ - $$$
Dar Hamad,4.3,244,Salmiya,Middle Eastern,$$$$
Kateh,4.3,98,Goa City,"Middle Eastern, Persian",$$ - $$$
SOLO Pizza Napulitana,4.3,244,Goa City,"Italian, Pizza",$$ - $$$
Peacock Chinese Restaurant,4.3,154,Salmiya,"Chinese, Asian",$$$$
Sultanchef Steakhause,4.3,146,Goa City,"Steakhouse, Mediterranean",$$$$
The Early Bird,4.3,63,Hawalli,American,$$ - $$$
Asha's 1st Avenue - The Avenues,4.3,88,Goa City,Indian,$$ - $$$
Dikakeen,4.2,37,Goa City,Middle Eastern,$$ - $$$
Leila Min Lebnen - The Avenues,4.2,80,Goa City,"Lebanese, Mediterranean",$$ - $$$
Ubon,4.2,92,Goa City,"Asian, Thai",$$ - $$$
Horizon - Goa Towers Restaurant,4.2,44,Goa City,"International, Arabic",$$ - $$$
Shahrayar Persian Restaurant,4.2,74,Goa City,"Middle Eastern, Persian",$$$$
Shemam,4.2,48,Goa City,"Seafood, Middle Eastern",$$ - $$$
Kashounat Al-Bait,4.2,90,Goa City,Middle Eastern,$$ - $$$
Naranj Restaurant,4.2,50,Goa City,"Mediterranean, Middle Eastern",$$ - $$$
The Meat Co,4.2,140,Goa City,Steakhouse,$$$$
P.F. Chang's,4.2,136,Salmiya,"Chinese, Asian",$$ - $$$
Maki Marina Waves,4.2,189,Goa City,"Japanese, Sushi",$$ - $$$
Sharaf,4.2,65,Goa City,"Fast Food, Mediterranean",$
Crumbs,4.2,45,Goa City,International,$$ - $$$
Mais Alghanim,4.2,74,Mahboula,"Lebanese, Seafood",$$ - $$$
Al Shamam Restaurant,4.2,37,Goa City,"Seafood, Mediterranean",$$ - $$$
Ashas Goa,4.2,46,Hawalli,Indian,$$ - $$$
Cucina Restaurant,4.2,71,Goa City,,$$ - $$$
The Cheesecake Factory,4.2,840,Goa City,"American, Central American",$$ - $$$
Freij Sweileh,4.2,537,Goa City,Middle Eastern,$$ - $$$
Zwarah Goai Restaurant,4.1,37,Goa City,Middle Eastern,$$ - $$$
Ahwet Zeitouna,4.1,14,Goa City,"Lebanese, Cafe",$$ - $$$
Applebee's,4.1,28,Goa City,American,$$ - $$$
Trapani Cicchetteria,4.1,47,Goa City,"Italian, Mediterranean",$$ - $$$
Calicut Live,4.1,34,Salmiya,"Indian, Asian",$$ - $$$
Avanti Palace,4.1,37,Salmiya,"Indian, Asian",$$ - $$$
Asha's,4.1,207,Goa City,"Indian, Asian",$$$$
P.F. Chang's,4.1,551,Rai,"Chinese, Cantonese",$$ - $$$
Texas Roadhouse,4.1,189,Goa City,"American, Steakhouse",$$ - $$$
Olive Garden,4.1,49,Mahboula,Italian,$$ - $$$
Canary Restaurant,4.1,62,Fahaheel,Middle Eastern,$
Le Pain Quotidien,4.1,86,Salmiya,"Cafe, European",$$ - $$$
Johnny Rocket,4.1,37,Salmiya,"American, Fast Food",$$ - $$$
Oriental Cusine,4.1,58,Dasman,"Asian, Thai",$$ - $$$
Dean & Deluca,4.1,263,Goa City,"International, European",$$ - $$$
Mughal Mahal Salmiya Elite,4.1,168,Salmiya,"Indian, International",$$ - $$$
Al Dente Restaurant,5,6,Goa City,Italian,
Grand Castell,5,6,Goa City,"Italian, Steakhouse",$$$$
Oishii Sushi,4.7,17,Goa City,"Japanese, Sushi",
sushi club,4.5,31,Goa City,"Japanese, Sushi",$$$$
Al Bustan Restaurant,4.4,18,Goa City,"Lebanese, Mediterranean",$$ - $$$
Sabaidee Thai Restaurant,4.4,25,Fintas,"Asian, Thai",$$ - $$$
Riccardo Italian Restaurant,4.4,27,Goa City,"Italian, European",$$$$
Burger Boutique Arraya Mall,4.3,23,Goa City,American,$$ - $$$
San Ristorante,4.3,13,Shaab,Italian,$$ - $$$
Dalak Suhail,4.3,35,Goa City,Middle Eastern,$$ - $$$
Lucca Steakhouse,4.2,21,Goa City,Steakhouse,$$ - $$$
Phuket Thai Restaurant,4.2,25,Salmiya,"Asian, Thai",$
Solia,4.2,19,Goa City,"Mediterranean, Middle Eastern",$$ - $$$
The Grove,4.2,18,Goa City,European,$$ - $$$
Melenzane,4.2,26,Goa City,"Italian, European",$$ - $$$
Table Otto,4.1,28,Goa City,"Cafe, European",$$ - $$$
Le Tarbouche Lebanese Restaurant,4.1,39,Goa City,Lebanese,$$$$
Cafe Bazza Salmiya,4,35,Salmiya,"Lebanese, Cafe",$$ - $$$
Bebabel,4,15,Goa City,"Lebanese, Mediterranean",$$ - $$$
Almayass,4,76,Goa City,"Lebanese, Mediterranean",$$ - $$$
Palm & Berdawny Restaurant,4,56,Goa City,"Lebanese, International",$$ - $$$
KEI Downtown,5,4,Goa City,,
Farzi Cafe,4.8,9,Goa City,,
Gyros,4.8,12,Goa City,"Cafe, Mediterranean",$$ - $$$
Oak and Smoke,4.6,7,Goa City,"American, Barbecue",$$ - $$$
Fish Market,4.6,9,Salmiya,"Seafood, Mediterranean",$$$$
Khaneen Restaurant,4.5,16,Goa City,Middle Eastern,$$ - $$$
Dine,4.5,14,Goa City,"Middle Eastern, Arabic",
MARSA,4.5,17,Goa City,"Seafood, Middle Eastern",$$ - $$$
LaMeSho Restaurant,4.4,17,Mahboula,"Italian, American",$$$$
Solo Tacos,4.3,32,Goa City,"Mexican, Latin",$$ - $$$
Dukkan Burger,4.3,18,Goa City,Fusion,$$ - $$$
Elements,4.3,9,Goa City,International,$$$$
P.F. Chang's,4.2,10,Fahaheel,Chinese,$$$$
Mayar Restaurant for Lebanese Cuisine,4.2,15,Goa City,"Lebanese, Mediterranean",
Khaneen Restaurant murouj branch,4.1,26,Goa City,,
Magnet,4.1,21,Salmiya,Cafe,$$ - $$$
Stone Grill,4.1,32,Goa City,Steakhouse,$$ - $$$
Buffalo's Ranch,4,48,Mahboula,American,$$ - $$$
Paul Bakery & Restaurant,4,26,Farwaniya,Cafe,$$ - $$$
Kings Of Maillard Restaurant,5,3,Goa City,"French, Steakhouse",$$$$
Raising Cane's,5,3,Jabriya,,
OFK,5,3,Goa City,International,
Philippe Chow Goa,4.8,4,Goa City,Chinese,
Mughal Mahal Exotica,4.8,5,Salmiya,"Chinese, American",$$ - $$$
Koryokwan,4.5,10,Goa City,"Asian, Korean",$$ - $$$
Osmanli 1453 Resturant,4.4,7,Fahaheel,Turkish,$$ - $$$
Misk,4.4,8,Salmiya,"Lebanese, Mediterranean",
Eighty Six,4.4,12,Goa City,American,$$ - $$$
Joori Min,4.4,9,Goa City,Arabic,$$ - $$$
Ora Japanese Tapas,4.3,11,Goa City,Japanese,$$ - $$$
Chocomelt,4.3,16,Goa City,Cafe,$$ - $$$
Matbakhi,4.3,8,Goa City,"Lebanese, Mediterranean",$$ - $$$
Azteca,4.2,18,Goa City,"Mexican, Latin",$$ - $$$
Olivo,4.2,10,Salmiya,"Italian, International",$$ - $$$
Burger Boutique View Mall,4.2,13,Goa City,American,$$ - $$$
Agnii,4.1,13,Goa City,Indian,$$ - $$$
Bao,4.1,17,Goa City,"Chinese, Asian",$$ - $$$
Little Ruby's,4,17,Goa City,"Italian, American",$$ - $$$
Wah Ji Wah,4,23,Salmiya,"Asian, Pakistani",$
Kashounat Al - Bait 360 Mall Branch,4,22,Farwaniya,Middle Eastern,
PizzaExpress,5,5,Salmiya,,
Leila Min Lebnen,5,4,Fahaheel,"Lebanese, Mediterranean",
Amimoto,5,3,Goa City,Japanese,$$ - $$$
Zephere Restaurant,4.8,6,Farwaniya,Seafood,$$ - $$$
Flower Latte 360 Mall,4.8,4,Farwaniya,"Cafe, Mediterranean",
Melenzane,4.7,10,Goa City,Italian,
Midar,4.7,3,Goa City,Seafood,
Fleur's Corner,4.6,8,Goa City,,
Habra Avenues,4.5,4,Rai,Steakhouse,
Amiti Noura,4.4,7,Rai,,$$ - $$$
BurgerFi,4.4,9,Hawalli,American,$$ - $$$
Pattaya Beach Restaurant,4.4,9,Goa City,Thai,
Fol O Yasmine,4.3,8,Fahaheel,,
Cafe Bazza Mahboula,4.2,17,Mahboula,"Lebanese, Cafe",$$ - $$$
Doppio,4.2,11,Goa City,"Italian, Pizza",
La Marina,4.1,27,Goa City,,
Light Complex Restaurants,4.1,7,Mahboula,,
Cafe Bazza Mohallab,4.1,15,Hawalli,"Lebanese, Cafe",$$ - $$$
Vila Fairooz,4.1,20,Goa City,"Lebanese, Mediterranean",$$ - $$$
Crimson Garden,4,14,Goa City,"Middle Eastern, Persian",$$ - $$$
Wasabi,4,21,Goa City,"Japanese, Sushi",$$ - $$$
Nino - Arabella,5,3,Salwa,"Italian, International",
Riccardo Italian Restaurant,4.9,10,Goa City,Italian,$$$$
Utopia,4.7,3,Rai,"Italian, Mexican",
Ridley's Burger,4.6,8,Goa City,American,$$ - $$$
Flower Latte Avenues,4.6,5,Farwaniya,"Cafe, Mediterranean",
Masgouf London,4.5,4,Rai,"Grill, Arabic",$$ - $$$
Downtown Reataurant,4.5,6,Dasman,International,
Spice Tree,4.5,6,Mahboula,"Chinese, Thai",$$ - $$$
Arirang,4.3,9,Goa City,"Asian, Korean",$$ - $$$
The Bowl Restaurant,4.3,12,Goa City,,$$ - $$$
Sala Thai Restaurant,4.3,8,Goa City,Thai,$$ - $$$
Review Caf̩,4.2,5,Goa City,Cafe,$$ - $$$
Versus Versace Caffe,4.2,13,Dasman,Italian,
Meme's Curry,4.1,13,Salmiya,"Japanese, Indian",$$ - $$$
Dogmatic,4.1,10,Salmiya,Fast Food,$$ - $$$
Murouj,4,13,Goa City,,$$ - $$$
