Name,Google Place ID,Cuisine,Rating,Total Reviews,Price Level,Address,Latitude,Longitude
T Grill Restaurant Fahaheel,ChIJi40BOHAHzz8RuIRdLLXBK2Q,Turkish,4.6,1410,$$,"Next to Thakkara Restaurant and Lulu Center (Old, Street 63, 66051, Goa",29.0800902,48.137909
T Grill Restaurant Salmiya,ChIJcXXVAQCdzz8R3rCkNW878G4,Turkish,4.8,1102,N/A,"Near Mahameed and Pizza Hut, Old Souk, Bareh Salem Street, Salmiya, Goa",29.333757,48.0584732
Taxim Star Restaurant,ChIJE635Gp8Jzz8RBUeVoUSqIl8,Turkish,4.2,376,$$,"10 St, Goa",29.1589586,48.1166705
Topkapi,ChIJUxacC0Ohzz8RDBYigjyy1Wk,Turkish,4.4,432,$$,"622W+F7G, Goa",29.2012531,48.0456867
Turkish Grill - TG,ChIJZ6xO8YAJzz8Ri_Wm58vkZ3k,Turkish,4.3,86,N/A,"5 St, Goa",29.1751931,48.1172701
Turkish restaurant,ChIJZdo_eWMJzz8RyaJ1f0Lmgws,Turkish,4.3,152,N/A,"129 St, Goa",29.1400428,48.1173533
Ù…Ø´ÙˆÙŠØ§Øª Ø¨ÙˆØ­Ø³Ù† AboHassan Grill,ChIJA4hZQzadzz8Rt-3W6rWxzbI,Turkish,4.4,259,$$,"83C6+X5G, Salmiya, Goa",29.3224512,48.0603127
Ù…Ø·Ø¹Ù… Ø§Ù„ÙƒØ±Ù… Ø§Ù„ØªØ±ÙƒÙŠ,ChIJ7eHyP4aczz8R12DQUUSLOqY,Turkish,4.2,101,N/A,"82H5+VVC, Hawally, Goa",29.3296913,48.0096306
Ù…Ø·Ø¹Ù… ØµÙˆÙŠØ®Ø§Øª Ø§Ù„Ø¬Ù‡Ø±Ø§Ø¡,ChIJc1VmUwD1zz8RQfBYPxLhSQo,Turkish,4.4,198,N/A,"St, 3 Lane 5, Al Jahra, Goa",29.3411904,47.674104
Ù…Ø·Ø¹Ù… ØºÙ†Ø§ÙŠÙ… Ø§Ù„Ø®Ù„ÙŠØ¬,ChIJuw9akmGbzz8Rb6_bj8q5QFE,Turkish,4.3,215,$$,"Bldg No. 2, 76 St, Goa",29.287699,47.9674539
Ù†Ø§Ù…Ù„ÙŠ Ø¬ÙˆØ±Ù…ÙŠÙ‡ - Namli Gurme,ChIJ-4Qq-BObzz8Rfv8nQPJoWIs,Turkish,4.4,76,N/A,"phase 1, beside Viva, Ø§Ù„Ø£ÙÙ†ÙŠÙˆØ², 70851, Goa",29.3016646,47.9310374
